Name,Username,Followers,Following,Posts
AbbVie Italia,abbvie_italia,980,34,229
No_Name,abiogen.pharma,19,32,1
Bayer Italia,bayer_italia,1668,222,104
BIOVIIIx,bioviiix,1368,5697,46
LEO Pharma Italia,leopharmait,579,845,343
MSD Salute,msd_salute,4556,198,415
Neopharmed Gentili,neopharmed_gentili,2234,4517,137
Sanofi Italia,sanofi_italia,3599,81,220
SIFI,sifigroup,301,151,114
Teva Italia,teva_it,1654,54,244
Zambon,zambonpharma,772,16,77
Zentiva Italia,zentivait,3349,11,345
